q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,label
1,1,1,3,3,1,2,3,3,1,3,3,2,2,1,1,2,2,1,1,1,3,animal_lover
1,1,3,2,3,1,2,3,1,2,2,3,2,3,3,2,3,2,3,2,1,1,noise_sensitive
1,2,1,3,1,1,1,2,3,1,2,3,3,2,2,2,3,1,1,3,2,2,early_bird
2,1,1,2,1,2,1,1,1,1,1,3,3,3,1,1,1,3,1,3,3,3,routine_focused
2,2,3,2,1,3,3,1,2,1,2,3,3,3,1,2,1,1,3,3,1,1,party_person
2,2,3,1,3,1,1,2,1,3,1,3,3,2,3,2,2,1,1,2,1,1,easy_adaptable
3,1,1,1,3,1,2,1,2,2,1,3,2,3,3,2,2,3,1,3,2,1,routine_focused
1,2,3,3,1,1,1,2,2,3,3,2,3,3,3,1,2,3,1,1,2,2,animal_lover
2,3,1,1,3,3,3,2,1,3,3,3,1,2,1,1,2,3,1,1,3,2,clean_freak
2,1,1,1,2,3,3,2,2,1,3,1,2,3,2,2,1,3,1,1,3,3,easy_adaptable
3,3,2,1,3,1,1,2,3,3,2,3,1,2,2,3,2,3,3,2,1,1,animal_lover
3,3,2,1,3,2,1,3,1,2,2,3,1,1,3,1,1,1,2,1,3,3,introvert
2,2,1,2,3,2,3,3,2,2,3,1,1,3,2,1,2,3,3,1,1,1,chill
2,1,2,2,3,3,2,3,3,2,1,1,1,2,3,3,2,2,3,1,2,1,social
2,2,3,2,2,3,3,3,1,3,2,3,2,1,1,3,2,1,2,2,3,3,noise_sensitive
2,2,3,2,1,1,3,2,2,3,1,3,1,1,2,2,3,2,2,1,2,1,early_bird
2,1,2,3,3,3,2,1,3,3,3,1,1,3,3,3,2,3,2,2,3,2,messy
1,2,1,1,3,3,3,3,2,3,2,3,1,3,1,3,3,1,3,3,1,1,animal_lover
3,1,3,1,2,3,1,1,3,3,2,3,3,1,1,1,2,1,1,1,2,3,noise_sensitive
2,3,3,3,3,1,1,3,2,1,1,3,1,2,2,3,1,1,1,1,1,2,easy_adaptable
3,1,3,3,1,1,1,1,3,1,2,1,2,2,3,2,2,2,1,3,2,2,noise_sensitive
2,3,2,1,3,2,2,1,3,3,3,3,2,1,2,3,3,2,3,1,3,1,clean_freak
2,1,3,1,3,2,1,1,2,3,3,1,3,1,2,1,2,3,3,3,1,2,night_person
2,3,2,2,1,2,3,2,1,1,3,3,2,1,1,2,2,1,2,3,1,2,night_person
3,2,3,1,2,1,2,2,3,3,1,3,3,2,2,3,1,1,2,2,2,3,party_person
2,1,1,2,2,1,2,2,1,1,1,1,1,2,1,3,2,1,3,1,3,1,easy_adaptable
3,2,2,1,2,2,1,1,2,3,2,1,1,2,3,2,1,2,2,1,3,3,night_person
3,1,3,2,1,2,3,2,2,2,1,2,1,2,3,3,3,3,1,3,2,2,routine_focused
2,1,1,2,3,2,3,1,3,2,2,1,1,2,1,2,3,3,1,1,1,2,social
2,2,2,3,1,2,1,1,1,2,1,3,1,3,3,3,2,3,2,1,1,1,party_person
2,2,1,3,1,2,1,1,2,3,2,3,1,1,1,1,1,1,2,1,3,3,party_person
1,3,2,3,1,3,2,2,1,1,3,3,1,2,3,1,3,1,1,3,1,1,easy_adaptable
3,1,3,2,2,2,2,1,3,1,3,1,1,3,2,1,3,1,2,3,1,3,chill
1,3,1,1,1,3,3,1,1,1,2,3,2,3,1,1,1,1,2,1,2,3,noise_sensitive
3,1,2,1,3,2,3,2,3,2,3,2,1,1,3,2,2,3,1,3,2,3,social
